,adeop1,adeop2,lysop1,lysop2,adewt1,adewt2,lyswt1,lyswt2,glucose,adenine,lysine
62,14,25,13,42,76,63,55,70,6893.206707525838,9003.028795675655,6383.887039087925
63,14,26,13,42,76,70,55,73,6893.206707525838,9003.028795675655,6383.887039087925
64,15,26,13,43,76,73,55,76,6893.206707525838,9003.028795675655,6383.887039087925
65,15,26,13,43,79,74,56,77,6893.206707525838,9003.028795675655,6383.887039087925
66,16,26,13,43,82,78,58,78,6893.206707525838,9003.028795675655,6383.887039087925
67,16,29,14,44,84,82,63,78,6893.206707525838,9003.028795675655,6383.887039087925
68,16,29,14,45,86,85,64,79,6893.206707525838,9003.028795675655,6383.887039087925
69,18,29,14,46,87,87,65,82,6893.206707525838,9003.028795675655,6383.887039087925
70,18,30,14,46,89,88,67,82,6893.206707525838,9003.028795675655,6383.887039087925
71,18,34,14,48,92,89,69,84,6893.206707525838,9003.028795675655,6383.887039087925
72,19,35,14,49,94,91,70,85,6893.206707525838,9003.028795675655,6383.887039087925
73,20,36,14,52,95,93,72,87,6893.206707525838,9003.028795675655,6383.887039087925
74,21,36,14,52,97,95,75,88,6893.206707525838,9003.028795675655,6383.887039087925
75,21,36,14,53,99,97,75,90,6893.206707525838,9003.028795675655,6383.887039087925
76,21,36,14,55,102,99,76,92,6893.206707525838,9003.028795675655,6383.887039087925
77,21,38,15,56,103,100,78,95,6893.206707525838,9003.028795675655,6383.887039087925
78,22,39,17,59,106,101,79,96,6893.206707525838,9003.028795675655,6383.887039087925
79,22,39,17,61,109,102,83,96,6893.206707525838,9003.028795675655,6383.887039087925
80,23,40,17,62,111,103,84,99,6893.206707525838,9003.028795675655,6383.887039087925
81,24,41,17,62,113,103,88,100,6893.206707525838,9003.028795675655,6383.887039087925
82,24,41,17,63,115,104,91,102,6893.206707525838,9003.028795675655,6383.887039087925
83,24,41,17,65,116,104,92,104,6893.206707525838,9003.028795675655,6383.887039087925
84,24,41,18,67,117,107,93,109,6893.206707525838,9003.028795675655,6383.887039087925
85,24,42,19,68,121,110,94,112,6893.206707525838,9003.028795675655,6383.887039087925
86,24,42,19,68,121,111,97,119,6893.206707525838,9003.028795675655,6383.887039087925
87,24,42,19,69,125,112,97,121,6893.206707525838,9003.028795675655,6383.887039087925
88,25,42,19,72,127,113,98,124,6893.206707525838,9003.028795675655,6383.887039087925
89,25,44,19,72,130,114,101,128,6893.206707525838,9003.028795675655,6383.887039087925
90,25,47,20,72,131,113,101,128,6893.206707525838,9003.028795675655,6383.887039087925
91,25,47,20,73,132,114,102,131,6893.206707525838,9003.028795675655,6383.887039087925
92,25,48,21,73,136,116,103,131,6893.206707525838,9003.028795675655,6383.887039087925
93,28,47,22,73,139,119,104,133,6893.206707525838,9003.028795675655,6383.887039087925
94,28,47,22,73,139,121,107,133,6893.206707525838,9003.028795675655,6383.887039087925
95,28,49,22,72,141,123,107,136,6893.206707525838,9003.028795675655,6383.887039087925
96,29,50,22,72,144,124,107,136,6893.206707525838,9003.028795675655,6383.887039087925
97,29,51,23,74,146,127,109,139,6893.206707525838,9003.028795675655,6383.887039087925
98,29,51,23,75,149,130,112,142,6893.206707525838,9003.028795675655,6383.887039087925
99,29,52,23,75,149,133,114,144,6893.206707525838,9003.028795675655,6383.887039087925
100,29,52,24,76,151,135,113,144,6893.206707525838,9003.028795675655,6383.887039087925
101,29,52,25,75,153,139,115,144,6893.206707525838,9003.028795675655,6383.887039087925
102,29,53,26,78,154,142,117,144,6893.206707525838,9003.028795675655,6383.887039087925
103,29,54,26,79,157,145,117,144,6893.206707525838,9003.028795675655,6383.887039087925
104,29,54,26,79,160,147,117,146,6893.206707525838,9003.028795675655,6383.887039087925
105,29,54,27,80,161,148,117,149,6893.206707525838,9003.028795675655,6383.887039087925
106,29,54,27,81,163,151,119,150,6893.206707525838,9003.028795675655,6383.887039087925
107,29,55,27,81,164,153,119,150,6893.206707525838,9003.028795675655,6383.887039087925
108,29,57,27,82,164,154,120,154,6893.206707525838,9003.028795675655,6383.887039087925
109,31,57,27,83,164,156,120,155,6893.206707525838,9003.028795675655,6383.887039087925
110,32,57,27,83,165,158,120,155,6893.206707525838,9003.028795675655,6383.887039087925
111,32,59,27,85,170,159,122,156,6893.206707525838,9003.028795675655,6383.887039087925
112,32,60,27,86,176,160,122,158,6893.206707525838,9003.028795675655,6383.887039087925
113,34,61,27,87,178,162,124,158,6893.206707525838,9003.028795675655,6383.887039087925
